panel,sample,outcome,outcome_label,loser_mean,loser_sd,loser_n,maximum_sample_n,voucher_effect,robust_se,model_n
C. Survey data,Bogota 1995,AGE,Age at time of survey,15.036206896551723,1.3506472926364117,580,1176,-0.013303083233178803,0.07804227475560607,1172
C. Survey data,Bogota 1995,SEX2,Male,0.5008576329331046,0.5004286327405256,583,1176,0.003554206116059141,0.029289630133407924,1176
C. Survey data,Bogota 1995,MOM_SCH,Mother's highest grade completed,5.892156862745098,2.6686967406614146,510,1176,-0.07851671767126843,0.1661502352842283,1055
C. Survey data,Bogota 1995,DAD_SCH,Father's highest grade completed,5.890243902439025,2.941175926867802,410,1176,-0.4310815930093484,0.1994586421160292,841
C. Survey data,Bogota 1995,MOM_AGE,Mother's age,40.74588665447898,7.326463429427166,547,1176,-0.026995363133113775,0.42620943012914964,1123
C. Survey data,Bogota 1995,DAD_AGE,Father's age,44.443231441048034,8.14058960782006,458,1176,0.5669307335654653,0.5331833001000013,940
C. Survey data,Bogota 1995,DAD_MW,Father earns more than two minimum wages,0.09976247030878867,0.30003958567015926,421,1176,0.004692267573711154,0.020805171348390376,861
C. Survey data,Bogota 1997,AGE,Age at time of survey,13.238461538461538,1.4403049104072903,130,277,-0.2590072485827829,0.1713264667086001,276
C. Survey data,Bogota 1997,SEX2,Male,0.5267175572519085,0.5012023125185946,131,277,-0.047064983419628906,0.06076524651724459,277
C. Survey data,Bogota 1997,MOM_SCH,Mother's highest grade completed,5.887931034482759,2.74660755723552,116,277,0.6541071741829868,0.3711404408730783,255
C. Survey data,Bogota 1997,DAD_SCH,Father's highest grade completed,5.541666666666666,2.4959616506275712,96,277,0.9292461272297063,0.3883737678378657,214
C. Survey data,Bogota 1997,MOM_AGE,Mother's age,38.71666666666667,6.600462593074595,120,277,-0.14576297324389326,0.8082303414758674,261
C. Survey data,Bogota 1997,DAD_AGE,Father's age,41.88235294117647,7.2934177806913105,102,277,0.2647632091871674,0.9727075580827185,225
C. Survey data,Bogota 1997,DAD_MW,Father earns more than two minimum wages,0.08791208791208792,0.2847358092591817,91,277,-0.007581314763209236,0.0429586897078165,202
C. Survey data,Jamundi 1993,AGE,Age at time of survey,17.18918918918919,1.3915171150673502,74,165,-0.37487541831042026,0.2173875505137799,164
C. Survey data,Jamundi 1993,SEX2,Male,0.3648648648648648,0.4846782388213526,74,165,0.11026810210691226,0.07727586673386243,165
C. Survey data,Jamundi 1993,MOM_SCH,Mother's highest grade completed,4.385964912280702,2.7173673312661615,57,165,1.4621277565822588,0.4935734569504144,129
C. Survey data,Jamundi 1993,DAD_SCH,Father's highest grade completed,5.2444444444444445,2.9322311979071154,45,165,0.7370587573641478,0.6403301332181507,97
C. Survey data,Jamundi 1993,MOM_AGE,Mother's age,43.559322033898304,8.810791162645243,59,165,-0.7360444253512658,1.4235066815225204,134
C. Survey data,Jamundi 1993,DAD_AGE,Father's age,45.46808510638298,9.098138997069166,47,165,1.9160053298403368,1.6111538725549843,107
C. Survey data,Jamundi 1993,DAD_MW,Father earns more than two minimum wages,0.13333333333333336,0.3437758254761644,45,165,-0.09213914715273934,0.0563797948939624,103
C. Survey data,Combined sample,AGE,Age at time of survey,14.941326530612246,1.684313102222829,784,1618,-0.10652878180605875,0.06754561066090027,1612
C. Survey data,Combined sample,SEX2,Male,0.49238578680203055,0.5002595447341336,788,1618,0.007930423649346803,0.02479987511096598,1618
C. Survey data,Combined sample,MOM_SCH,Mother's highest grade completed,5.765739385065887,2.714282389139356,683,1618,0.1833428234899406,0.1444532360499025,1439
C. Survey data,Combined sample,DAD_SCH,Father's highest grade completed,5.77676950998185,2.870395173848104,551,1618,-0.04201487882285653,0.17036680856748024,1152
C. Survey data,Combined sample,MOM_AGE,Mother's age,40.63911845730028,7.422932688942365,726,1618,-0.07567968515317337,0.3623140666641653,1518
C. Survey data,Combined sample,DAD_AGE,Father's age,44.09225700164744,8.135489786881609,607,1618,0.5374376951716924,0.45280398292504564,1272
C. Survey data,Combined sample,DAD_MW,Father earns more than two minimum wages,0.10053859964093356,0.30098710033577664,557,1618,-0.002512628532612152,0.01777589809731076,1166
C. Survey data,Test-takers,AGE,Age at time of survey,14.92741935483871,1.3978693839489056,124,283,-0.12832712904278457,0.1743838391824434,283
C. Survey data,Test-takers,SEX2,Male,0.45161290322580644,0.49967206660078234,124,283,0.06202026387850561,0.061075460662515096,283
C. Survey data,Test-takers,MOM_SCH,Mother's highest grade completed,5.459677419354838,2.911706658894992,124,283,-0.12186949654054888,0.36451327513651494,283
C. Survey data,Test-takers,DAD_SCH,Father's highest grade completed,4.032258064516129,3.283205561966775,124,283,-0.07358401871875934,0.41101974422601706,283
C. Survey data,Test-takers,MOM_AGE,Mother's age,40.289256198347104,6.575761066889172,121,283,0.15562299558482012,0.869448285167801,276
C. Survey data,Test-takers,DAD_AGE,Father's age,43.49523809523809,7.6524553745888175,105,283,0.6200202873336329,1.1539771009657376,234
C. Survey data,Test-takers,DAD_MW,Father earns more than two minimum wages,0.0515463917525773,0.2222580154450077,97,283,0.1283165525471557,0.046243740688401314,216
